fechas,tasas
2017-01,2.0442
2017-02,1.9726
2017-03,1.9726
2017-04,1.9726
2017-05,1.9726
2017-06,1.9726
2017-07,1.9726
2017-08,1.9726
2017-09,1.9726
2017-10,1.9726
2017-11,2.1315
2017-12,2.2086
2018-01,2.2192
2018-02,2.2192
2018-03,2.2192
2018-04,2.2192
2018-05,2.5161
2018-06,2.7426
2018-07,2.9808
2018-08,3.3094
2018-09,3.8034
2018-10,4.6316
2018-11,6.0272
2018-12,5.0417
2019-01,4.6119
2019-02,3.9078
2019-03,3.9328
2019-04,4.6494
2019-05,5.0973
2019-06,5.1434
2019-07,4.7464
2019-08,5.2452
2019-09,5.879
2019-10,5.6428
2019-11,4.7088
2019-12,4.2278
2020-01,3.7267
2020-02,3.3768
2020-03,2.9505
2020-04,2.2887
2020-05,2.0758
2020-06,2.8421
2020-07,2.9184
2020-08,2.9138
2020-09,2.9329
2020-10,2.9819
2020-11,3.1695
2020-12,3.3683
2021-01,3.3711
2021-02,3.3616
2021-03,3.3571
2021-04,3.3622
2021-05,3.3635
2021-06,3.3625
2021-07,3.3664
2021-08,3.3689
2021-09,3.368
2021-10,3.3691
2021-11,3.3704
2021-12,3.3709
2022-01,3.564
2022-02,3.7402
2022-03,3.9497
2022-04,4.188
2022-05,4.441
2022-06,4.6266
2022-07,5.0118
2022-08,5.6976
2022-09,6.4186
2022-10,
2022-11,
2022-12,
